"V1","V2","V3","RamanArea","A254","A280","A350","A440","S275to295","S350to400","SR","BA","FI","HIX","HIX.ohno","PeakA","PeakB","PeakC","PeakD","PeakE","PeakM","PeakN","PeakP","PeakT"
"ELAFISH927.csv","MILLIQBLANKSEPT12022.csv","ELAFISH927","614.269985647","10.5842263172493","7.41639331806671","1.98277818466834","0.429480366177175","0.0216422359313314","0.0186738195226624","1.15896139539458","0.353735261390982","0.23210446229901","0.436559748676208","0.303892510616769","0.0487783964029775","0.00775739804724283","0.112038551618606","0.183300206061212","0.0559224056489741","0.0733576517258771","0.0143348113836388",NA,"0.0344321308459425"
"ELAFISH1013.csv","MILLIQBLANKSEPT22022.csv","ELAFISH1013","561.480452311","10.1699531133421","7.01632229188448","1.81765351903436","0.35981379545395","0.0205514361742225","0.0193387077451182","1.06270990001442","-2.20235737623022","0.180797186752322","0.129324106073684","0.114514606903508","0.0391380490103892","0.0421479392013929","0.0609472908767461","0.193140937833782","0.017720330422491","0.0344588908524425","-0.0107099573426814",NA,"-0.0260889042097392"
"ELAFISH1012.csv","MILLIQBLANKSEPT22022.csv","ELAFISH1012","561.480452311","10.4444580824631","7.20826159844887","1.89978896191503","0.404955410332555","0.0200396755167362","0.0187947247660061","1.06623937121877","-1.90309716207308","0.15944653510989","0.175313573630392","0.149163234020067","0.0398252232963415","0.0482530325386389","0.0550157127586572","0.192736847261673","0.0177593202206498","0.0416176773277079","-0.0174116120231768",NA,"-0.0163980755007153"
"ELAFISH108.csv","MILLIQBLANKSEPT12022.csv","ELAFISH108","614.269985647","11.0277013896251","7.59090934509918","1.97010828418587","0.377554995842921","0.0206208828086994","0.0201535596900251","1.02318811792369","-0.0828954057342469","0.232073786523328","0.366373504790856","0.268135691673072","0.0855851194490745","-0.0156804170774666","0.087193329121718","0.182974904576248","0.0974471359446726","0.0743328434534971","0.021038743418973",NA,"0.0140004206547977"
"ELAFISH118.csv","MILLIQBLANKSEPT12022.csv","ELAFISH118","614.269985647","10.6367930829157","7.27681644240235","1.97052430679518","0.376025265769358","0.0209981671153047","0.0199553736561426","1.05225627327911","0.030506865923443","0.247502111277318","0.349818311506017","0.259159553937091","0.0849533321768445","-0.011192173893612","0.0817428943580196","0.183128193431446","0.0975252516593998","0.0768708412881478","0.0174181276632435",NA,"0.00941863487280719"
"ELAFISH112.csv","MILLIQBLANKSEPT12022.csv","ELAFISH112","614.269985647","11.0596925747821","7.65537109870628","2.16509935576374","0.521071834954384","0.0203495089001986","0.0169980539858221","1.19716697671227","-0.0228275696934349","0.247590821838902","0.389360196977337","0.280244243231108","0.0849836744782499","-0.00499998109627674","0.0909307493820762","0.183095456921848","0.0609849913710254","0.0710933730541194","0.0201684761479883",NA,"0.0211981576307496"
"ELAFISH117.csv","MILLIQBLANKSEPT12022.csv","ELAFISH117","614.269985647","10.7273333950423","7.41732064481776","2.06329456229031","0.393274719877958","0.020208115851193","0.0198819737902332","1.01640390759996","-0.00477210515963641","0.216654450044015","0.380155491753631","0.275443958325742","0.0818049614812155","-0.0105165105576262","0.0900647038837332","0.183095834685395","0.0836753463162111","0.0770815407597077","0.00777966006645982",NA,"0.0137063296000854"
"ELAFISH906.csv","MILLIQBLANKSEPT162022.csv","ELAFISH906","1061.668450013","10.6350962471801","7.40578365227908","2.10853674342447","0.3929398525643","0.0208853218731442","0.020576173636961","1.01502457364706","2.18777215972345","-80.7570763510936","0.622754693143564","0.383763914394959","0.0850022554835472","-0.00229455548681878","0.0796233196246561","0.0986862885460462","0.060507248916236","0.082970947527422","0.0687995191010078",NA,"-0.00110881237577742"
"ELAFISH916.csv","MILLIQBLANKSEPT72022.csv","ELAFISH916","445.062504498","11.2704643799386","8.05072918111896","2.19378589184119","0.545228153041674","0.0212837072049139","0.0179425527993596","1.18621399323254","0.731930776118325","4.38616047440473","0.537356448437381","0.349532763845084","0.17540420876991","0.0430266398061108","0.163069911272242","0.256074496227386","0.107856917693256","0.128213925415156","0.0323767908946297",NA,"0.0307411653575998"
"ELACTL3L224.csv","MILLIQBLANKSEPT62022.csv","ELACTL3L224","514.881859017","10.2904554494003","7.00784179330467","1.86193017862931","0.364255307567718","0.0210359449225499","0.019362531432918","1.08642534657358","0.617960030673819","0.159335573898592","0.278185459894354","0.217640920369527","0.0853661941549762","-0.0163909270701386","0.0927548624424943","0.219428125406241","0.0322359210413681","0.0723747668979427","-0.0131458406274057",NA,"0.0629354655539855"
"ELACTL4L224.csv","MILLIQBLANKSEPT12022.csv","ELACTL4L224","614.269985647","10.19755699485","6.93524057252978","1.81398167284974","0.338076729013765","0.0212106121988063","0.019808880689368","1.07076278217934","0.173083470441033","0.0633131471157426","0.06922684507818","0.064744768985966","0.0640685637256896","0.0512220116896228","0.0655544924927956","0.178934586200114","0.0649155953435178","0.0604160102932162","-0.0126276893411324",NA,"0.0655089246585019"
"ELAFISH911.csv","MILLIQBLANKSEPT22022.csv","ELAFISH911","561.480452311","10.4462507418248","7.19763207405082","1.92348056371685","0.407654000550904","0.0207072491112016","0.0193709008614175","1.06898740845067","-1.17874649665625","0.156003547638564","0.211038427310895","0.174262370666061","0.0414999711600301","0.061349502434396","0.0636694684732535","0.196569392279313","0.0177443670965276","0.0448241479343534","-0.00664932771880663",NA,"-0.00295634499178614"
"ELAFISH926.csv","MILLIQBLANKSEPT62022.csv","ELAFISH926","514.881859017","10.4952519462087","7.21035359642205","1.93972572072559","0.426193797142785","0.0213054046551337","0.0187177441487499","1.13824638726867","0.748883671931386","0.183705665455733","0.295925483308278","0.228350693863069","0.066483117006563","0.0249200837411342","0.0773290706174023","0.215728361875841","0.0323194097007201","0.10736846736836","-0.0125885371795032",NA,"0.00500574888898893"
"ELAFISH929.csv","MILLIQBLANKSEPT22022.csv","ELAFISH929","561.480452311","10.3987350243383","7.40843565321557","1.9130147446793","0.414737406992233","0.0178858217663188","0.0192808675133172","0.927646111045839","-4.75925374139887","0.182340777222469","0.0668822936334352","0.0626894775858141","0.0251199665932554","0.079928170113841","0.107905534217139","0.196789550374405","0.0177793718315097","0.0512843438799582","-0.0134855667217343",NA,"-0.0115712483190454"
"ELAFISH921.csv","MILLIQBLANKSEPT72022.csv","ELAFISH921","445.062504498","10.2703717845131","7.30482540097688","1.83365830350664","0.368870431759458","0.0176630200876475","0.0192799735080961","0.916133006107624","0.156312136956822","-0.412436084471902","0.346202319444731","0.257169605522244","0.157588830698095","0.0142380294499428","0.148504667487342","0.235230245897838","0.013521258954315","0.103362604397933","0.0482213618565953",NA,"-0.00203718469448137"
"ELAFISH928.csv","MILLIQBLANKSEPT22022.csv","ELAFISH928","561.480452311","10.048469037311","7.14698682850403","1.76223122244657","0.347482648290441","0.0177618846601008","0.0196911824397853","0.902022248507207","-2.60298376550753","0.19845800845932","0.14734002967753","0.12841879989051","0.0405079054531856","0.0460079949638523","0.0836112183675348","0.196441817450234","0.0176816767499611","0.0370135697126705","-0.0214325592098334",NA,"-0.0262609169312231"
